name;brand;cuisine;website;lng;lat
Fan Fan;;pizza;;3.5010801;44.5174075
Amore E Sapori;;;;4.8422565;45.7588827
Ô Saveur Bar;;thai;;2.3751307;48.8495128
Sanswichs City;;sandwich;;2.3736929;48.8466535
Le Coq;;pizza;;2.3740738;48.8484928
Speed Rabbit Pizza;;pizza;https://nimes.speedrabbitpizza.com/;4.361602;43.8406425
Pizza Jub';;pizza;;0.6640562;47.4033567
Eat'alien;;italian;;0.2992665;46.5509482
Beyaz;;kebab;;2.3873421;48.8477171
McDonald's;McDonald's;burger;;-1.743723;47.293571
Aroma Pizza;;pizza;https://www.aromapizza.fr;5.7355486;45.1970002
McDonald's;McDonald's;burger;;2.1486103;48.8595764
La chocolatine;;;;0.3398042;46.5813757
Pizz Burg;;burger;www.pizzburg-nimes.fr;4.360626;43.8403172
Istambul Ayasofya;;kebab;;2.3736501;48.8471159
La Parisienne;;burger,pizza;;2.3747494;48.8458024
Bodrum;;kebab;;2.3743814;48.8462223
Traiteur de la Gare;;chinese;;2.3729742;48.8466746
Croq' o' Pain;;french;;2.3727596;48.8466393
La Cappadoce;;kebab;;2.3715454;48.8471577
McDonald's;McDonald's;burger;;2.3666605;48.8269269
Biggy Burger;;burger;;4.360777;43.840665
Domino's Pizza;Domino's Pizza;pizza;;7.7452007;48.6019962
Snack Çiçek;;kebab;;7.7453675;48.6021706
Finalment'e;;pizza;;7.7459695;48.6025249
Brioche Dorée;Brioche Dorée;;;-0.5988327;43.421529
Restaurant Regal;;;;2.0925962;49.0490436
Midi Pile;;friture;;3.1889796;50.6546555
Pomme de Pain;;sandwich;;2.3252146;48.8752261
McDonald's;McDonald's;burger;;2.3255792;48.8752761
Burger King;Burger King;burger;;2.326991;48.8757173
Le Snack;;crepe,pasta,pizza;;2.2385613;48.831913
Chez Memo;;kebab;https://chez-memo.business.site/;2.0971144;49.0515803
Rapido Pizza;;;;2.0292579;49.0234849
McDonald's;McDonald's;burger;;2.3282798;48.8835297
Quick;Quick;burger;https://www.quick.fr/;2.3270648;48.8838538
Show Gourmand;;sandwich;;2.0790966;49.0369158
Quick;Quick;burger;;2.1971304;48.948589
McDonald's;McDonald's;burger;;2.2064159;48.9483957
Viennoiserie de Gisors;;;;2.0921228;49.0548424
Pizza Luigi;;;;2.094101;49.0585436
McDonald's;McDonald's;burger;;0.3627454;46.6463361
KFC;KFC;chicken;;2.2962718;48.837025
Alimentation Snack Epheman;;kebab;;7.7322744;48.6147688
Le Best;;kebab;;2.8202717;49.4150559
César Pizza;;pizza;;2.0966197;49.0509613
;;;;2.0973345;49.0510164
Chark;;turkish;;7.7518786;48.6127381
Pizz'Alanya;;pizza;;7.7510127;48.6118261
Snack Le Vizir;;;;7.7512373;48.6114677
La Soucoupe;;sandwich;https://www.crous-bordeaux.fr/restaurant/crous-market-la-soucoupe/;-0.5988365;44.8075046
McDonald's;McDonald's;burger;;-3.3950844;47.7632747
Kebab;;;;2.0961495;49.0493547
Snack Kusadasi;;kebab;;7.7322588;48.6167007
Basilic & Co Nîmes (Séverine);Basilic & Co;pizza,regional,italian;https://basilic-and-co.com/restaurants/pizzeria-nimes-severine/;4.3518108;43.8306248
McDonald's;McDonald's;burger;;-0.5574229;44.8419938
O' Paname;;kebab,chicken,pizza,tacos,burger;;-1.5524131;47.2151094
Bosphore Kébab;;kebab;;4.362721;43.840385
Crep' Shake;;;https://fr-fr.facebook.com/Crepshake-Nimes/;4.3450122;43.8376895
Botan;;turkish;;-1.6640178;48.126766
Sandwicherie;;sandwich;;-1.6667116;48.1249763
McDonald's;McDonald's;burger;;-0.5744708;44.8410609
McDonald's;McDonald's;burger;;-0.5724249;44.8312676
L'Anti Crise;;kebab;;4.3623535;43.840452
Domino's;Domino's;pizza;https://www.dominos.fr/;2.3188661;48.7877799
Kiosque Picasso;;;;4.3509516;43.8393484
Midi's Cafe;;;;5.6116344;43.4643364
McDonald's;McDonald's;burger;;2.3630738;48.9214477
McDonald's;McDonald's;burger;;2.4899644;48.9075763
McDonald's;McDonald's;burger;;-3.3644668;47.7477798
McDonald's;McDonald's;burger;;-0.4287049;44.8744539
La Taquéria;;mexican;;3.8811297;43.6158987
Oçena Expres;;kebab;;1.0660115;47.8071268
Independence Burger;Independence Burger;burger;;3.8800806;43.6091997
Lady Sushi;;asian;https://lady-sushi.fr/;3.8803601;43.6139025
Cap Chef;;;;3.8747604;43.6159701
Maxi Burger;;burger,tacos,pizza,kebab;;4.3816885;43.8307247
Royal Kebab;;kebab;;-0.5035689;43.8895975
J'adOOOre les sushis...;;;;-0.5003077;43.8874593
Pizza Maria;;pizza;http://www.pizza-maria.fr;-0.5003608;43.8873901
Istanbul Kebab;;kebab;;4.3623979;43.8370748
Mangezmoi;;;;-0.5013554;43.8909196
Le Burger Queens;;burger;;4.347707;43.8345982
Asie Express;;asian,vietnamese;;4.3713849;43.8295244
Tacos Français;;sandwich;;2.2583992;48.9884323
Le Repère Gourmand;;sandwich;;2.2576271;48.8449888
Asie Snack;;asian;;3.0659892;50.6362914
Snack Kuşadasi 2;;kebab;https://doner-de-strasbourg-kusadasi.business.site/;7.7207716;48.5938609
Le LOFT;;pizza;;-0.5061086;43.8916067
Panda Sushi;;sushi,chinese;;3.062131;50.6369837
